"","x"
"2021562018",0
"2021683556",0
"2021723787",14
"2021779785",108.5
"2021845495",0
"2021853644",79
"2021912452",0
"2022008519",0
"2022089853",9
"2022090965",45.6
"2022116091",0
"2022141534",0
"2022147131",27.7
"2022261836",0
"2022262325",5
"2022268612",0
"2022329870",69
"2022405002",42.5
"2022507316",0
"2022613107",0
"2022673988",0
"2022681695",0
"2022686787",0
"2022719050",0
"2022775046",52
"2022884422",9
"2022943687",21
"2022954174",0
"2023049771",0
"2023161002",6.7
"2023161323",41.75
"2023171365",0
"2023288545",192
"2023296739",0
"2023315648",0
"2023333330",31
"2023387986",0
"2023410777",129.038492063492
"2023415694",60
"2023475785",10
"2023504165",0
"2023617490",232
"2023686068",0
"2023709876",28
"2023820734",35
"2023858597",0
"2023962567",0
"2024032168",8
"2024036448",0
"2024293109",15
"2024343249",0
"2024362543",209
"2024464446",26
"2024536299",0
"2024702894",35
"2024704261",39
"2024733335",129
"2024834126",16
"2024862402",63.3333333333333
"2024867567",17
"2024914022",0
"2024939969",0
"2024965233",20
"2024981653",7
"2025025927",0
"2025044488",0
"2025053056",0
"2025055101",0
"2025081100",42
"2025090388",0
"2025091313",0
"2025104191",0
"2025135250",0
"2025174314",72
"2025175857",9
"2025198394",30
"2025202383",48
"2025216731",0
"2025220169",7.5
"2025378546",0
"2025438594",19.5
"2025640367",0
"2025641879",20
"2025797634",31.5
"2025824465",0
"2025906334",0
"2025959395",104
"2025987505",83
"2025989273",0
"2026037767",42.5
"2026122225",0
"2026122471",148
"2026152621",0
"2026157097",0
"2026198202",0
"2026214001",0
"2026224618",0
"2026271421",10.5
"2026304613",0
"2026313760",208
"2026321360",71.5
"2026327922",18.5333333333333
"2026330155",0
"2026402671",139.5
"2026430219",355
"2026450190",0
"2026565525",0
"2026649222",0
"2026718660",18
"2026732121",21
"2026868269",0
"2027026709",0
"2027066194",0
"2027073372",0
"2027243672",0
"2027255274",0
"2027285700",0
"2027336792",46
"2027586770",30
"2027688623",20
"2027714080",41.8333333333333
"2027722224",0
"2027751853",0
"2027773902",54.95
"2027774899",110
"2027805278",3317.33333333333
"2027814176",0
"2027829736",44
"2027878789",0
"2027892333",112
"2027897240",0
"2028102160",3.5
"2028103647",0
"2028104000",0
"2028143647",0
"2028263515",35
"2028500987",12
"2028505042",0
"2028528563",0
"2028532107",0
"2028536777",0
"2028563317",22.5
"2028568556",21.8333333333333
"2028635543",0
"2028651982",0
"2028721671",52.5
"2028774910",11
"2028833545",0
